F_Avg,F_Max,X_Bytes,Y_Bytes,X,Y
0.470,0.800,111010,000000,2.8,1.0
0.380,0.800,111010,000000,2.8,1.0
0.497,0.800,111010,000000,2.8,1.0
0.510,0.800,111010,000000,2.8,1.0
0.453,0.800,111010,000000,2.8,1.0
0.408,0.800,111010,000000,2.8,1.0
0.350,0.800,111010,000000,2.8,1.0
0.343,0.800,111010,000000,2.8,1.0
0.317,0.800,111010,000000,2.8,1.0
0.360,0.800,111010,000000,2.8,1.0
0.417,0.800,111010,000000,2.8,1.0
0.517,0.800,111010,000000,2.8,1.0
0.617,0.800,111010,000000,2.8,1.0
0.620,0.800,111010,000000,2.8,1.0
0.613,0.800,111010,000000,2.8,1.0
0.637,0.800,111010,000000,2.8,1.0
0.587,0.800,111010,000000,2.8,1.0
0.583,0.800,111010,000000,2.8,1.0
0.613,0.800,111010,000000,2.8,1.0
0.633,0.800,111010,000000,2.8,1.0
0.642,0.800,111010,000000,2.8,1.0
0.547,0.800,111010,000000,2.8,1.0
0.633,0.800,111010,000000,2.8,1.0
0.650,0.800,111010,000000,2.8,1.0
0.653,0.800,111010,000000,2.8,1.0
0.623,0.800,111010,000000,2.8,1.0
0.640,0.800,111010,000000,2.8,1.0
0.563,0.800,111010,000000,2.8,1.0
0.517,0.800,111010,000000,2.8,1.0
0.590,0.800,111010,000000,2.8,1.0
0.573,0.800,111010,000000,2.8,1.0
0.497,0.800,111010,000000,2.8,1.0
0.562,0.800,111010,000000,2.8,1.0
0.487,0.800,111010,000000,2.8,1.0
0.553,0.800,111010,000000,2.8,1.0
0.407,0.800,111010,000000,2.8,1.0
0.473,0.800,111010,000000,2.8,1.0
0.540,0.800,111010,000000,2.8,1.0
0.540,0.800,111010,000000,2.8,1.0
0.490,0.800,111010,000000,2.8,1.0
0.490,0.800,111010,000000,2.8,1.0
0.480,0.800,111010,000000,2.8,1.0
0.523,0.800,111010,000000,2.8,1.0
0.463,0.800,111010,000000,2.8,1.0
0.463,0.800,111010,000000,2.8,1.0
0.480,0.800,111010,000000,2.8,1.0
0.430,0.800,111010,000000,2.8,1.0
0.423,0.800,111010,000000,2.8,1.0
0.287,0.800,111010,000000,2.8,1.0
0.337,0.800,111010,000000,2.8,1.0
0.513,0.800,111010,000000,2.8,1.0
0.570,0.800,111010,000000,2.8,1.0
0.513,0.800,111010,000000,2.8,1.0
0.480,0.800,111010,000000,2.8,1.0
0.480,0.800,111010,000000,2.8,1.0
0.417,0.800,111010,000000,2.8,1.0
0.395,0.800,111010,000000,2.8,1.0
0.330,0.800,111010,000000,2.8,1.0
0.293,0.800,111010,000000,2.8,1.0
0.350,0.800,111010,000000,2.8,1.0
0.350,0.800,111010,000000,2.8,1.0
0.280,0.800,111010,000000,2.8,1.0
0.453,0.800,111010,000000,2.8,1.0
0.537,0.800,111010,000000,2.8,1.0
0.527,0.800,111010,000000,2.8,1.0
0.430,0.800,111010,000000,2.8,1.0
0.530,0.800,111010,000000,2.8,1.0
0.608,0.900,111011,000000,2.9,1.0
0.603,0.900,111011,000000,2.9,1.0
0.600,0.900,111011,000000,2.9,1.0
0.628,0.900,111011,000000,2.9,1.0
0.555,0.900,111011,000000,2.9,1.0
0.457,0.900,111011,000000,2.9,1.0
0.538,0.900,111011,000000,2.9,1.0
0.457,0.900,111011,000000,2.9,1.0
0.413,0.900,111011,000000,2.9,1.0
0.542,0.900,111011,000000,2.9,1.0
0.382,0.900,111011,000000,2.9,1.0
0.415,0.900,111011,000000,2.9,1.0
0.498,0.900,111011,000000,2.9,1.0
0.420,0.800,111010,000000,2.8,1.0
0.317,0.800,111010,000000,2.8,1.0
0.355,0.900,111011,000000,2.9,1.0
0.437,0.800,111010,000000,2.8,1.0
0.557,0.800,111010,000000,2.8,1.0
0.583,1.000,111100,000000,3.0,1.0
0.567,1.000,111100,000000,3.0,1.0
0.537,1.000,111100,000000,3.0,1.0
0.573,1.000,111100,000000,3.0,1.0
0.633,1.000,111100,000000,3.0,1.0
0.620,1.000,111100,000000,3.0,1.0
0.533,1.000,111100,000000,3.0,1.0
0.557,1.000,111100,000000,3.0,1.0
0.590,1.000,111100,000000,3.0,1.0
0.557,0.800,111010,000000,2.8,1.0
0.497,0.800,111010,000000,2.8,1.0
0.513,0.800,111010,000000,2.8,1.0
0.457,0.800,111010,000000,2.8,1.0
0.367,0.800,111010,000000,2.8,1.0
0.420,0.800,111010,000000,2.8,1.0
0.357,0.800,111010,000000,2.8,1.0
0.497,0.800,111010,000000,2.8,1.0
0.587,0.800,111010,000000,2.8,1.0
0.560,1.000,111100,000000,3.0,1.0
0.563,0.800,111010,000000,2.8,1.0
0.550,0.800,111010,000000,2.8,1.0
0.503,0.800,111010,000000,2.8,1.0
0.605,0.800,111010,000000,2.8,1.0
0.508,1.000,111100,000000,3.0,1.0
0.510,0.800,111010,000000,2.8,1.0
0.557,0.800,111010,000000,2.8,1.0
0.543,1.000,111100,000000,3.0,1.0
0.510,0.800,111010,000000,2.8,1.0
0.543,0.800,111010,000000,2.8,1.0
0.510,0.800,111010,000000,2.8,1.0
0.507,0.800,111010,000000,2.8,1.0
0.457,0.800,111010,000000,2.8,1.0
0.483,0.800,111010,000000,2.8,1.0
0.443,0.800,111010,000000,2.8,1.0
0.468,0.800,111010,000000,2.8,1.0
0.623,0.800,111010,000000,2.8,1.0
0.547,0.800,111010,000000,2.8,1.0
0.667,0.800,111010,000000,2.8,1.0
0.683,0.800,111010,000000,2.8,1.0
0.663,0.800,111010,000000,2.8,1.0
0.637,0.800,111010,000000,2.8,1.0
0.633,0.800,111010,000000,2.8,1.0
0.617,0.800,111010,000000,2.8,1.0
0.677,1.000,111100,000000,3.0,1.0
0.673,1.000,111100,000000,3.0,1.0
0.657,1.000,111100,000000,3.0,1.0
0.663,1.000,111100,000000,3.0,1.0
0.687,1.000,111100,000000,3.0,1.0
0.712,1.000,111100,000000,3.0,1.0
0.722,1.000,111100,000000,3.0,1.0
0.690,1.000,111100,000000,3.0,1.0
0.692,0.900,111011,000000,2.9,1.0
0.610,0.900,111011,000000,2.9,1.0
0.582,0.900,111011,000000,2.9,1.0
0.675,1.000,111100,000000,3.0,1.0
0.683,1.000,111100,000000,3.0,1.0
0.680,1.000,111100,000000,3.0,1.0
0.692,0.900,111011,000000,2.9,1.0
0.668,0.800,111010,000000,2.8,1.0
0.635,0.800,111010,000000,2.8,1.0
0.620,0.800,111010,000000,2.8,1.0
0.592,0.900,111011,000000,2.9,1.0
0.530,0.800,111010,000000,2.8,1.0
0.442,0.800,111010,000000,2.8,1.0
0.583,0.800,111010,000000,2.8,1.0
0.577,0.800,111010,000000,2.8,1.0
0.583,0.800,111010,000000,2.8,1.0
0.560,0.800,111010,000000,2.8,1.0
0.570,0.800,111010,000000,2.8,1.0
0.607,0.800,111010,000000,2.8,1.0
0.503,0.800,111010,000000,2.8,1.0
0.410,0.800,111010,000000,2.8,1.0
0.550,0.800,111010,000000,2.8,1.0
0.638,0.800,111010,000000,2.8,1.0
0.628,0.800,111010,000000,2.8,1.0
0.623,0.800,111010,000000,2.8,1.0
0.638,0.800,111010,000000,2.8,1.0
0.600,0.800,111010,000000,2.8,1.0
0.580,0.800,111010,000000,2.8,1.0
0.513,0.800,111010,000000,2.8,1.0
0.447,0.800,111010,000000,2.8,1.0
0.343,0.800,111010,000000,2.8,1.0
0.423,0.800,111010,000000,2.8,1.0
0.465,0.800,111010,000000,2.8,1.0
0.553,1.000,111100,000000,3.0,1.0
0.475,1.000,111100,000000,3.0,1.0
0.428,1.000,111100,000000,3.0,1.0
0.440,0.800,111010,000000,2.8,1.0
0.423,0.800,111010,000000,2.8,1.0
0.537,0.800,111010,000000,2.8,1.0
0.477,0.800,111010,000000,2.8,1.0
0.515,0.900,111011,000000,2.9,1.0
0.425,0.900,111011,000000,2.9,1.0
0.413,0.900,111011,000000,2.9,1.0
0.347,0.900,111011,000000,2.9,1.0
0.525,0.900,111011,000000,2.9,1.0
0.540,0.900,111011,000000,2.9,1.0
0.550,0.900,111011,000000,2.9,1.0
0.597,0.900,111011,000000,2.9,1.0
0.600,0.900,111011,000000,2.9,1.0
0.622,0.900,111011,000000,2.9,1.0
0.648,0.900,111011,000000,2.9,1.0
0.578,0.900,111011,000000,2.9,1.0
0.577,0.900,111011,000000,2.9,1.0
0.542,0.900,111011,000000,2.9,1.0
0.487,0.900,111011,000000,2.9,1.0
0.523,0.900,111011,000000,2.9,1.0
0.473,0.900,111011,000000,2.9,1.0
0.488,0.900,111011,000000,2.9,1.0
0.463,0.900,111011,000000,2.9,1.0
0.377,0.900,111011,000000,2.9,1.0
0.430,0.900,111011,000000,2.9,1.0
0.380,0.900,111011,000000,2.9,1.0
0.382,0.900,111011,000000,2.9,1.0
0.543,0.900,111011,000000,2.9,1.0
0.517,0.900,111011,000000,2.9,1.0
0.493,0.900,111011,000000,2.9,1.0
0.427,0.900,111011,000000,2.9,1.0
0.505,0.900,111011,000000,2.9,1.0
0.560,0.900,111011,000000,2.9,1.0
0.563,0.900,111011,000000,2.9,1.0
0.412,0.900,111011,000000,2.9,1.0
0.482,0.900,111011,000000,2.9,1.0
0.540,0.900,111011,000000,2.9,1.0
0.563,0.900,111011,000000,2.9,1.0
0.340,0.900,111011,000000,2.9,1.0
0.385,0.900,111011,000000,2.9,1.0
0.322,0.900,111011,000000,2.9,1.0
0.607,0.900,111011,000000,2.9,1.0
0.600,0.900,111011,000000,2.9,1.0
0.647,0.900,111011,000000,2.9,1.0
0.730,0.900,111011,000000,2.9,1.0
0.683,0.900,111011,000000,2.9,1.0
0.593,0.900,111011,000000,2.9,1.0
0.635,0.900,111011,000000,2.9,1.0
0.720,0.900,111011,000000,2.9,1.0
0.782,0.900,111011,000000,2.9,1.0
0.747,0.900,111011,000000,2.9,1.0
0.730,0.900,111011,000000,2.9,1.0
0.702,0.900,111011,000000,2.9,1.0
0.753,0.900,111011,000000,2.9,1.0
0.737,0.900,111011,000000,2.9,1.0
0.743,0.900,111011,000000,2.9,1.0
0.752,0.900,111011,000000,2.9,1.0
0.775,0.900,111011,000000,2.9,1.0
0.712,0.900,111011,000000,2.9,1.0
0.645,0.900,111011,000000,2.9,1.0
